month,year,date,followers,source,banner
january,2017,1/31/2017,47212,wayback,guterres hand on chest looking at black person in a conference
february,2017,2/24/2017,55247,wayback,guterres hand on chest looking at black person in a conference
march,2017,3/30/2017,67739,wayback,guterres hand on chest looking at black person in a conference
april,2017,4/27/2017,80168,wayback,guterres hand on chest looking at black person in a conference
may,2017,5/31/2017,90205,wayback,guterres hand on chest looking at black person in a conference
june,2017,6/26/2017,104149,wayback,guterres hand on chest looking at black person in a conference
july,2017,7/29/2017,125994,wayback,guterres hand on chest looking at black person in a conference
august,2017,8/30/2017,151393,wayback,guterres hand on chest looking at black person in a conference
september,2017,9/30/2017,"189,797",wayback,guterres hand on chest looking at black person in a conference
october,2017,10/30/2017,210398,wayback,guterres hand on chest looking at black person in a conference
november,2017,11/23/2017,225804,wayback,guterres hand on chest looking at black person in a conference
december,2017,12/8/2017,239566,wayback,guterres hand on chest looking at black person in a conference
january,2018,1/18/2018,274443,wayback,guterres hand on chest looking at black person in a conference
february,2018,2/25/2018,304791,wayback,guterres hand on chest looking at black person in a conference
march,2018,,,,
april,2018,4/19/2018,358363,wayback,guterres hand on chest looking at black person in a conference
may,2018,5/31/2018,400376,wayback,guterres hand on chest looking at black person in a conference
june,2018,6/26/2018,424805,wayback,guterres hand on chest looking at black person in a conference
july,2018,7/26/2018,440362,wayback,guterres hand on chest looking at black person in a conference
august,2018,,,,
september,2018,9/30/2018,484024,wayback,guterres hand on chest looking at black person in a conference
october,2018,10/26/2018,486640,wayback,guterres hand on chest looking at black person in a conference
november,2018,,,,
december,2018,12/25/2018,507759,wayback,guterres hand on chest looking at black person in a conference
january,2019,1/30/2019,527375,wayback,guterres hand on chest looking at black person in a conference
february,2019,2/22/2019,540064,wayback,guterres hand on chest looking at black person in a conference
march,2019,3/26/2019,560839,wayback,guterres hand on chest looking at black person in a conference
april,2019,4/28/2019,578882,wayback,guterres hand on chest looking at black person in a conference
may,2019,5/29/2019,593986,wayback,guterres hand on chest looking at black person in a conference
june,2019,6/18/2019,603615,wayback,guterres hand on chest looking at black person in a conference
july,2019,7/29/2019,620266,wayback,guterres hand on chest looking at black person in a conference
august,2019,8/28/2019,638110,wayback,guterres hand on chest looking at black person in a conference
september,2019,9/25/2019,661376,wayback,guterres hand on chest looking at black person in a conference
october,2019,10/26/2019,683776,wayback,guterres hand on chest looking at black person in a conference
november,2019,11/27/2019,696268,wayback,guterres hand on chest looking at black person in a conference
december,2019,12/30/2019,714497,wayback,guterres hand on chest looking at black person in a conference
january,2020,1/27/2020,733603,wayback,guterres hand on chest looking at black person in a conference
february,2020,2/27/2020,767005,wayback,guterres hand on chest looking at black person in a conference
march,2020,3/31/2020,827046,wayback,guterres hand on chest looking at black person in a conference
april,2020,4/29/2020,915841,wayback,guterres hand on chest looking at black person in a conference
may,2020,5/31/2020,960335,wayback,guterres hand on chest looking at black person in a conference
june,2020,6/29/2020,971431,wayback,guterres hand on chest looking at black person in a conference
july,2020,7/25/2020,994645,wayback,guterres hand on chest looking at black person in a conference
august,2020,8/23/2020,1009886,wayback,guterres hand on chest looking at black person in a conference
september,2020,9/30/2020,1034628,wayback,guterres hand on chest looking at black person in a conference
october,2020,10/31/2020,1063456,wayback,guterres hand on chest looking at black person in a conference
november,2020,11/30/2020,1091887,wayback,guterres hand on chest looking at black person in a conference
december,2020,12/30/2020,1110319,wayback,guterres hand on chest looking at black person in a conference
january,2021,1/31/2021,1131319,wayback,guterres hand on chest looking at black person in a conference
february,2021,2/28/2021,1177316,wayback,guterres hand on chest looking at black person in a conference
march,2021,3/31/2021,1221869,wayback,guterres hand on chest looking at black person in a conference
april,2021,4/30/2021,1245344,wayback,guterres hand on chest looking at black person in a conference
may,2021,5/31/2021,1272865,wayback,guterres hand on chest looking at black person in a conference
june,2021,6/30/2021,1294603,wayback,guterres hand on chest looking at black person in a conference
july,2021,7/31/2021,1316949,wayback,guterres hand on chest looking at black person in a conference
august,2021,8/31/2021,1368004,wayback,guterres hand on chest looking at black person in a conference
september,2021,9/30/2021,1415508,wayback,guterres hand on chest looking at black person in a conference
october,2021,10/31/2021,1449958,wayback,guterres hand on chest looking at black person in a conference
november,2021,11/30/2021,1482912,wayback,UN flag
december,2021,12/29/2021,1500792,wayback,UN flag
january,2022,1/31/20222,1522557,wayback,UN flag
february,2022,2/28/2022,1590296,wayback,UN flag
march,2022,3/31/2022,1660960,wayback,UN flag
april,2022,4/30/2022,1727297,wayback,UN flag
may,2022,5/31/2022,1768022,wayback,UN flag
june,2022,6/30/2022,1794799,wayback,UN flag
july,2022,7/31/2022,1815198,wayback,UN flag
august,2022,8/31/2022,1853460,wayback,UN flag
september,2022,9/30/2022,1918419,wayback,UN flag
october,2022,10/31/2022,1963993,wayback,UN flag
november,2022,11/30/2022,2003459,wayback,UN flag
december,2022,12/31/2022,2012717,wayback,UN flag
january,2023,,,,
february,2023,,,,
march,2023,3/30/2023,2093211,rtweet,UN flag
april,2023,4/30/2023,2107260,rtweet,UN flag
may,2023, 5/31/2023,2116827,rtweet,UN flag
june,2023,6/12/2023,2121385,rtweet,UN flag
